num_rooms;m2;price;zip_code
3.5;88;2525;1052
2;195;4850;4051
3.5;78;1580;3020
2;54;1280;4800
3.5;95;1500;3204
2.5;80;870;4657
4.5;119;1860;2542
2.5;74;2160;3007
3;85;1500;3053
4.5;160;1660;2853
3.5;100;1480;3042
3.5;80;1710;1775
2.5;66.41732283;940;9100
3;70.41538462;1075;9015
3.5;86.183391;1130;9400
4;92.90196078;1000;9400
1.5;46.76;700;9100
4.5;110.4352941;1500;9500
2;57.05263158;870;9400
3.5;86.183391;1280;9100
3.5;86.183391;1190;9532
3;70.41538462;1070;9062
3.5;110;1790;8730
2;60;1370;3006
4.5;105;1800;6074
3.5;84;1500;9008
4.5;110.4352941;1600;4628
2;57.05263158;1050;8494
4.5;100;3000;1426
4.5;180;1690;2540
4.5;120;1798;9000
1;30;630;3372
4;96;1760;3123
3;68;1250;3600
3.5;88;1740;8155
4.5;120;2220;3400
1;29;590;3053
4;84;1690;1920
3.5;99;1680;9323
4;96;2440;3013
4;96;2340;3013
2.5;62;1200;6043
3.5;60;1300;5504
4.5;110;2090;3604
4.5;112;2230;8590
3;79;1450;2502
3.5;95;1880;4552
2.5;76;1465;4552
2.5;76;1455;4552
4.5;122;2160;4552
4.5;122;2180;4552
1.5;67;1580;2502
2;57.05263158;1050;4500
2.5;59;985;4665
3.5;70;1450;4600
4.5;104;2490;1822
3.5;86.183391;1810;1470
4.5;110.4352941;1100;2108
3;70.41538462;1480;3072
5.5;125;2400;2503
2.5;75;1590;9442
3.5;100;2350;3097
4.5;110.4352941;1800;5505
3.5;78;1595;9554
4.5;108;1895;9554
3.5;88;2990;3014
3.5;95;1755;3800
4.5;79;1345;8370
3;61;1120;9552
3.5;88;1613;4056
4.5;133;2990;4244
4;92.90196078;1340;9000
2.5;60;1930;1820
2.5;89;2290;4059
4;67;1570;9010
3.5;81;2020;8212
2.5;44;1200;8212
3.5;91;1830;8233
2.5;66.41732283;1135;1902
2.5;73;1360;4310
1;43;1005;1950
1;24;890;3012
1.5;46.76;790;1907
2.5;70;1545;4123
3.5;70;1220;2543
2.5;46;1440;3014
2.5;66;2140;8600
2.5;70;1550;8580
2.5;55;1390;1020
3.5;95;2000;5432
3;79;1670;6612
5.5;134;2545;8620
2.5;65;1090;4052
3.5;74;1445;9403
2;47;1240;3006
3.5;85;1602;4310
3.5;84;1250;4052
3.5;90;2065;8906
4;75;1605;1800
3.5;86;2190;8600
2;100;2183;8953
4.5;84;2880;8048
4.5;105;2990;8048
4.5;100;1750;2552
5.5;127;2650;3110
4.5;100;1650;3556
4.5;115;2400;3613
5.5;137;2890;6274
3;70.41538462;1400;3063
4;94;1930;6992
3.5;70;1150;9230
4.5;106;1720;4704
5.5;196;2580;4436
3.5;86.183391;1757;8620
3.5;78;2400;5000
4.5;133;2990;4153
3.5;84;1200;7138
2.5;63;1300;9502
4.5;100;1450;3252
5.5;155;3450;4127
4.5;100;1745;3506
4.5;150;2200;5225
4.5;135;3045;6362
3;70.41538462;1500;1203
3.5;101;1660;9016
3.5;81;1700;4102
3.5;82;1790;3612
2.5;82;1650;4106
3.5;75;1790;3015
5.5;144;3010;8302
3;90;1580;4125
3.5;82;1590;4923
4.5;111;2420;1794
2.5;62;1360;1860
3.5;86.183391;925;2828
5.5;128;2650;2072
4.5;127;2550;5430
5.5;220;2500;2557
4.5;120;2495;8640
3.5;80;1450;8370
2.5;55;1200;6533
3.5;92;1540;3294
3.5;91;1490;3297
5;140;2056;2024
1.5;29;1360;1071
2.5;66.41732283;1350;6500
3.5;92;1650;3309
4;90;1950;3014
2.5;78;1890;5610
3.5;86.183391;1450;3075
3;80;1290;8215
4.5;165;2700;4242
3.5;92;2020;6024
5.5;113;1930;1700
3;66;1395;2000
3.5;91;1600;1700
2.5;59;900;6710
3.5;100;1450;6512
1.5;46.76;925;3123
4.5;110;1540;5054
