;num_rooms;m2;price;zip_code;scraping_date
40;3.5;77;780000;8134;2021-12-01
41;4.0;85;915000;8134;2021-12-01
42;3.5;91;1265000;8134;2021-12-01
43;3.5;94;750000;8412;2021-12-01
44;5.5;140;1030000;8412;2021-12-01
46;2.5;69;544000;4147;2021-12-01
47;3.5;95;639000;4147;2021-12-01
48;3.5;97;742000;4147;2021-12-01
49;4.5;93;750000;4147;2021-12-01
50;4.5;120;780000;4147;2021-12-01
52;4.0;123;890000;4147;2021-12-01
53;3.5;99;990000;4147;2021-12-01
55;3.5;111;1160000;4147;2021-12-01
57;3.5;111;1170000;4147;2021-12-01
58;5.5;39;1205000;4147;2021-12-01
59;4.5;128;1375000;4147;2021-12-01
60;4.5;128;1400000;4147;2021-12-01
63;4.5;125;645000;6287;2021-12-01
64;5.5;170;875000;6287;2021-12-01
67;4.5;120;980000;3703;2021-12-01
68;4.5;151;960000;3656;2021-12-01
69;4.5;123;1150000;8914;2021-12-01
70;3.5;91;635000;9556;2021-12-01
71;3.5;1126;735000;9556;2021-12-01
72;3.5;126;735000;9556;2021-12-01
73;4.5;150;795000;9556;2021-12-01
74;5.0;85;950000;8910;2021-12-01
75;4.5;126;1260000;8910;2021-12-01
76;4.5;150;1290000;8910;2021-12-01
78;4.5;103;280000;3951;2021-12-01
79;4.5;137;490000;3951;2021-12-01
80;5.5;161;540000;3951;2021-12-01
82;1.5;31;250000;6982;2021-12-01
84;2.5;48;310000;6982;2021-12-01
85;2.5;54;355000;6982;2021-12-01
86;2.5;61;420000;6982;2021-12-01
87;2.5;71;455000;6982;2021-12-01
88;4.5;130;520000;6982;2021-12-01
89;2.5;83;550000;6982;2021-12-01
90;5.5;100;585000;6982;2021-12-01
92;3.5;98;590000;6982;2021-12-01
93;4.5;140;600000;6982;2021-12-01
95;3.5;110;650000;6982;2021-12-01
97;3.5;95;695000;6982;2021-12-01
98;3.5;118;745000;6982;2021-12-01
99;3.5;105;745000;6982;2021-12-01
101;3.5;107;775000;6982;2021-12-01
102;3.5;86;775000;6982;2021-12-01
103;3.5;100;775000;6982;2021-12-01
104;4.5;139;788000;6982;2021-12-01
105;3.5;117;790000;6982;2021-12-01
106;4.5;149;795000;6982;2021-12-01
107;4.5;128;814700;6982;2021-12-01
108;4.5;130;820000;6982;2021-12-01
109;3.5;118;830000;6982;2021-12-01
110;3.5;112;890000;6982;2021-12-01
111;4.5;112;994000;6982;2021-12-01
112;4.5;157;1080000;6982;2021-12-01
113;5.0;130;1190000;6982;2021-12-01
114;4.5;238;1450000;6982;2021-12-01
115;5.5;175;1480000;6982;2021-12-01
116;4.5;160;1550000;6982;2021-12-01
118;3.5;115;760000;6990;2021-12-01
120;3.5;80;605000;6927;2021-12-01
121;2.5;77;650000;6927;2021-12-01
122;3.5;95;680000;6927;2021-12-01
123;3.5;105;840000;6927;2021-12-01
124;4.5;115;980000;6927;2021-12-01
125;4.5;110;980000;6927;2021-12-01
127;3.5;126;1130000;6927;2021-12-01
130;3.5;168;1490000;6927;2021-12-01
132;3.0;114;1936000;6927;2021-12-01
133;3.5;126;2150000;6927;2021-12-01
134;3.5;209;2919000;6927;2021-12-01
137;2.5;48;268000;1860;2021-12-01
138;2.5;60;359000;1860;2021-12-01
139;2.5;60;365000;1860;2021-12-01
140;2.5;60;365000;1860;2021-12-01
141;2.5;60;365000;1860;2021-12-01
142;2.5;60;367000;1860;2021-12-01
143;2.5;65;380000;1860;2021-12-01
144;2.5;66;380000;1860;2021-12-01
145;2.5;54;380000;1860;2021-12-01
146;2.5;66;383000;1860;2021-12-01
147;2.5;66;383000;1860;2021-12-01
148;2.5;60;383000;1860;2021-12-01
149;2.5;63;384000;1860;2021-12-01
150;2.5;63;390000;1860;2021-12-01
151;2.5;67;392000;1860;2021-12-01
152;2.5;67;402000;1860;2021-12-01
153;2.5;67;409000;1860;2021-12-01
154;2.5;67;409000;1860;2021-12-01
155;2.5;67;410000;1860;2021-12-01
156;2.5;63;425000;1860;2021-12-01
157;2.5;61;425000;1860;2021-12-01
158;2.5;66;430000;1860;2021-12-01
159;2.5;61;430000;1860;2021-12-01
160;2.5;67;448000;1860;2021-12-01
161;3.5;76;456500;1860;2021-12-01
162;3.5;76;456500;1860;2021-12-01
163;3.5;76;456500;1860;2021-12-01
164;3.5;76;456500;1860;2021-12-01
165;3.5;76;456500;1860;2021-12-01
166;3.5;83;456500;1860;2021-12-01
167;3.5;84;456500;1860;2021-12-01
168;3.5;83;456500;1860;2021-12-01
169;3.5;83;456500;1860;2021-12-01
170;3.5;83;456500;1860;2021-12-01
171;3.5;83;456500;1860;2021-12-01
172;3.5;83;456500;1860;2021-12-01
173;3.5;76;456500;1860;2021-12-01
174;3.5;77;462000;1860;2021-12-01
175;3.5;84;462000;1860;2021-12-01
176;3.5;84;462000;1860;2021-12-01
177;3.5;79;480000;1860;2021-12-01
178;3.5;79;480000;1860;2021-12-01
179;2.5;74;495000;1860;2021-12-01
180;3.5;76;510000;1860;2021-12-01
181;3.5;94;595000;1860;2021-12-01
182;3.5;76;595000;1860;2021-12-01
183;4.5;102;630000;1860;2021-12-01
184;4.5;109;690000;1860;2021-12-01
185;4.5;108;702000;1860;2021-12-01
186;4.5;108;714000;1860;2021-12-01
187;4.5;108;737000;1860;2021-12-01
188;4.0;97;700000;1288;2021-12-01
189;3.5;90;149000;6780;2021-12-01
190;3.5;65;149000;6780;2021-12-01
191;6.5;179;190000;6780;2021-12-01
192;2.0;40;190000;6780;2021-12-01
193;4.5;115;680000;6248;2021-12-01
194;4.5;152;970000;6248;2021-12-01
195;2.5;51;135000;3955;2021-12-01
196;3.0;65;185000;3955;2021-12-01
197;3.5;85;318000;3955;2021-12-01
200;3.5;114;629000;3473;2021-12-01
201;2.5;71;510000;6974;2021-12-01
202;2.5;73;510000;6974;2021-12-01
203;2.5;73;550000;6974;2021-12-01
204;3.5;90;620000;6974;2021-12-01
205;3.0;90;620000;6974;2021-12-01
208;3.5;100;1100000;6974;2021-12-01
209;3.5;105;1280000;6974;2021-12-01
210;4.0;115;1630000;6974;2021-12-01
212;5.5;197;1670000;6974;2021-12-01
213;5.5;197;1670000;6974;2021-12-01
214;4.5;171;3251000;6974;2021-12-01
216;4.5;149;3251000;6974;2021-12-01
218;4.5;233;5950000;6974;2021-12-01
219;5.0;277;6300000;6974;2021-12-01
224;4.5;151;835000;9239;2021-12-01
225;3.5;87;545000;9249;2021-12-01
226;3.5;98;560000;9249;2021-12-01
227;4.5;100;470000;2942;2021-12-01
228;4.5;100;502000;2942;2021-12-01
229;5.5;132;550000;2942;2021-12-01
230;2.0;48;455000;4123;2021-12-01
231;3.5;70;485000;4123;2021-12-01
232;3.5;65;490000;4123;2021-12-01
233;3.5;74;590000;4123;2021-12-01
234;3.5;79;679000;4123;2021-12-01
235;4.5;101;740000;4123;2021-12-01
236;4.0;100;840000;4123;2021-12-01
237;4.5;97;890000;4123;2021-12-01
238;2.5;89;890000;4123;2021-12-01
239;3.5;95;1050000;4123;2021-12-01
240;4.5;110;1095000;4123;2021-12-01
241;3.5;160;1495000;4123;2021-12-01
242;5.5;150;1180000;6055;2021-12-01
243;2.5;82;640000;6053;2021-12-01
244;3.5;93;675000;6053;2021-12-01
245;4.5;110;813000;6053;2021-12-01
246;3.5;150;1500000;6053;2021-12-01
247;4.5;110;765000;8849;2021-12-01
248;1.5;34;316000;6460;2021-12-01
249;2.5;59;532000;6460;2021-12-01
250;2.5;63;558000;6460;2021-12-01
251;2.5;63;562000;6460;2021-12-01
252;2.5;60;567000;6460;2021-12-01
253;2.5;64;575000;6460;2021-12-01
254;2.5;64;580000;6460;2021-12-01
255;3.5;102;640000;6460;2021-12-01
256;4.5;117;710000;6460;2021-12-01
257;4.5;125;710000;6460;2021-12-01
258;4.5;125;720000;6460;2021-12-01
259;4.5;125;720000;6460;2021-12-01
260;4.5;123;725000;6460;2021-12-01
261;3.5;82;738000;6460;2021-12-01
262;4.5;117;740000;6460;2021-12-01
263;4.5;117;750000;6460;2021-12-01
264;3.5;78;750000;6460;2021-12-01
